Kecamatan,Sekolah/Schools - Negeri - 2024/2025,Sekolah/Schools - Negeri - 2025/2026,Sekolah/Schools - Swasta - 2024/2025,Sekolah/Schools - Swasta - 2025/2026,Sekolah/Schools - Jumlah - 2024/2025,Sekolah/Schools - Jumlah - 2025/2026
satuan,Sekolah,Sekolah,Sekolah,Sekolah,Sekolah,Sekolah
tahun,2024/2025,2025/2026,2024/2025,2025/2026,2024/2025,2025/2026
(1),(2),(3),(4),(5),(6),(7)
Cipatujah,2,2,2,2,4,4
Karangnunggal,0,0,6,5,6,5
Cikalong,1,1,2,2,3,3
Pancatengah,1,1,2,2,3,3
Cikatomas,0,0,4,4,4,4
Cibalong,0,0,3,3,3,3
Parungponteng,1,1,2,2,3,3
Bantarkalong,1,1,3,3,4,4
Bojongasih,0,0,2,2,2,2
Culamega,0,0,1,1,1,1
Bojonggambir,1,1,2,2,3,3
Sodonghilir,0,0,5,4,5,4
Taraju,0,0,0,0,0,0
Salawu,0,0,4,4,4,4
Puspahiang,1,1,0,0,1,1
Tanjungjaya,0,0,5,5,5,5
Sukaraja,0,0,2,2,2,2
Salopa,1,1,2,2,3,3
Jatiwaras,0,0,4,4,4,4
Cineam,0,0,2,2,2,2
Karangjaya,1,1,0,0,1,1
Manonjaya,1,1,5,5,6,6
Gunungtanjung,0,0,2,2,2,2
Singaparna,0,0,7,7,7,7
Sukarame,0,0,5,5,5,5
Mangunreja,0,0,3,3,3,3
Cigalontang,0,0,5,5,5,5
Leuwisari,0,0,6,6,6,6
Sariwangi,0,0,3,3,3,3
Padakembang,0,0,6,6,6,6
Sukaratu,0,0,6,6,6,6
Cisayong,0,0,5,5,5,5
Sukahening,0,0,2,2,2,2
Rajapolah,1,1,1,1,2,2
Jamanis,0,0,2,2,2,2
Ciawi,0,0,4,4,4,4
Kadipaten,1,1,2,2,3,3
Pagerageung,0,0,5,5,5,5
Sukaresik,1,1,1,1,2,2
Tasikmalaya,14,14,123,121,137,135
