Kecamatan,Guru 1/Teachers 1 - Negeri - 2024/2025,Guru 1/Teachers 1 - Negeri - 2025/2026,Guru 1/Teachers 1 - Swasta - 2024/2025,Guru 1/Teachers 1 - Swasta - 2025/2026,Guru 1/Teachers 1 - Jumlah - 2024/2025,Guru 1/Teachers 1 - Jumlah - 2025/2026
satuan,Guru,Guru,Guru,Guru,Guru,Guru
tahun,2024/2025,2025/2026,2024/2025,2025/2026,2024/2025,2025/2026
(1),(2),(3),(4),(5),(6),(7)
Cipatujah,68,68,20,2,8,90
Karangnunggal,0,0,81,81,81,81
Cikalong,34,3,21,25,5,58
Pancatengah,50,46,9,10,59,56
Cikatomas,0,0,42,49,42,49
Cibalong,0,0,40,48,40,48
Parungponteng,40,39,18,17,58,56
Bantarkalong,117,114,21,28,138,142
Bojongasih,0,0,21,19,21,19
Culamega,0,0,4,4,4,4
Bojonggambir,20,21,38,32,58,53
Sodonghilir,0,0,62,57,62,57
Taraju,0,0,0,0,0,0
Salawu,0,0,78,72,78,72
Puspahiang,5,5,0,0,5,5
Tanjungjaya,0,0,149,147,149,147
Sukaraja,0,0,2,27,2,27
Salopa,2,23,47,49,69,72
Jatiwaras,0,0,3,37,3,37
Cineam,0,0,21,23,21,23
Karangjaya,24,26,0,0,24,26
Manonjaya,93,94,68,75,161,169
Gunungtanjung,0,0,29,3,29,3
Singaparna,0,0,153,144,153,144
Sukarame,0,0,84,92,84,92
Mangunreja,0,0,23,24,23,24
Cigalontang,0,0,6,6,6,6
Leuwisari,0,0,122,121,122,121
Sariwangi,0,0,107,109,107,109
Padakembang,0,0,148,156,148,156
Sukaratu,0,0,65,71,65,71
Cisayong,0,0,8,85,8,85
Sukahening,0,0,27,31,27,31
Rajapolah,115,123,10,1,125,134
Jamanis,0,0,13,13,13,13
Ciawi,0,0,111,114,111,114
Kadipaten,72,80,1,14,83,94
Pagerageung,0,0,103,102,103,102
Sukaresik,43,40,7,9,50,49
Tasikmalaya,683,682,1.762,1.897,2.345,2.639
