Kecamatan,Murid/Pupils - Negeri - 2024/2025,Murid/Pupils - Negeri - 2025/2026,Murid/Pupils - Swasta - 2024/2025,Murid/Pupils - Swasta - 2025/2026,Murid/Pupils - Jumlah - 2024/2025,Murid/Pupils - Jumlah - 2025/2026
satuan,Siswa,Siswa,Siswa,Siswa,Siswa,Siswa
tahun,2024/2025,2025/2026,2024/2025,2025/2026,2024/2025,2025/2026
(1),(2),(3),(4),(5),(6),(7)
Cipatujah,971,997,158,156,1.129,1.153
Karangnunggal,0,0,1.182,1.030,1.182,1.030
Cikalong,422,439,216,205,638,644
Pancatengah,832,774,110,102,942,876
Cikatomas,0,0,587,646,587,646
Cibalong,0,0,358,359,358,359
Parungponteng,618,626,63,67,681,693
Bantarkalong,2.166,2.226,278,269,2.444,2.495
Bojongasih,0,0,240,258,240,258
Culamega,0,0,64,65,64,65
Bojonggambir,249,238,294,249,543,487
Sodonghilir,0,0,664,599,664,599
Taraju,0,0,0,0,0,0
Salawu,0,0,1.071,1.025,1.071,1.025
Puspahiang,635,606,0,0,635,606
Tanjungjaya,0,0,2.593,2.582,2.593,2.582
Sukaraja,0,0,181,167,181,167
Salopa,214,214,762,733,976,947
Jatiwaras,0,0,446,396,446,396
Cineam,0,0,179,183,179,183
Karangjaya,412,375,0,0,412,375
Manonjaya,1.545,1.699,744,632,2.289,2.331
Gunungtanjung,0,0,502,418,502,418
Singaparna,0,0,2.130,2.012,2.130,2.012
Sukarame,0,0,956,1.004,956,1.004
Mangunreja,0,0,161,128,161,128
Cigalontang,0,0,764,708,764,708
Leuwisari,0,0,2.136,1.999,2.136,1.999
Sariwangi,0,0,1.967,2.088,1.967,2.088
Padakembang,0,0,1.858,1.855,1.858,1.855
Sukaratu,0,0,582,534,582,534
Cisayong,0,0,1.057,975,1.057,975
Sukahening,0,0,357,258,357,258
Rajapolah,2.308,2.543,106,84,2.414,2.627
Jamanis,0,0,118,119,118,119
Ciawi,0,0,1.342,1.280,1.342,1.280
Kadipaten,1.773,1.808,120,134,1.893,1.942
Pagerageung,0,0,1.587,1.321,1.587,1.321
Sukaresik,593,599,24,18,617,617
Tasikmalaya,12.738,13.144,25.957,24.658,38.695,37.802
