Kecamatan,Sekolah/Schools - Kecamatan - 2024/2025,Sekolah/Schools - Kecamatan - 2025/2026,Guru/Teachers - Kecamatan - 2024/2025,Guru/Teachers - Kecamatan - 2025/2026,Murid/Pupils - Kecamatan - 2024/2025,Murid/Pupils - Kecamatan - 2025/2026
satuan,Sekolah,Sekolah,Guru,Guru,Siswa,Siswa
tahun,2024/2025,2025/2026,2024/2025,2025/2026,2024/2025,2025/2026
(1),(2),(3),(4),(5),(6),(7)
Cipatujah,3,3,19,20,203,187
Karangnunggal,2,2,16,14,126,132
Cikalong,5,5,93,92,840,826
Pancatengah,7,7,79,79,505,478
Cikatomas,6,6,56,6,667,659
Cibalong,1,1,8,8,110,115
Parungponteng,3,3,63,6,523,568
Bantarkalong,3,3,62,61,509,504
Bojongasih,4,4,26,24,118,134
Culamega,0,0,0,0,0,0
Bojonggambir,3,3,39,40,347,361
Sodonghilir,4,4,60,56,712,685
Taraju,0,0,0,0,0,0
Salawu,4,4,28,26,152,168
Puspahiang,0,0,0,0,0,0
Tanjungjaya,4,4,35,34,265,278
Sukaraja,3,3,27,29,159,167
Salopa,7,7,114,116,1.885,1.752
Jatiwaras,4,4,27,25,356,310
Cineam,1,1,14,15,96,90
Karangjaya,0,0,0,0,0,0
Manonjaya,3,3,26,24,221,229
Gunungtanjung,0,0,0,0,0,0
Singaparna,4,4,123,122,1.613,1.633
Sukarame,3,3,118,118,2.094,2.132
Mangunreja,1,1,4,4,45,48
Cigalontang,5,5,51,46,415,352
Leuwisari,1,1,5,5,59,53
Sariwangi,3,3,29,29,337,310
Padakembang,3,3,16,14,251,232
Sukaratu,4,4,31,30,294,263
Cisayong,2,2,47,45,554,489
Sukahening,0,0,0,0,0,0
Rajapolah,2,2,25,2,315,311
Jamanis,2,2,47,46,534,491
Ciawi,1,1,71,6,1.336,1.313
Kadipaten,0,0,0,0,0,0
Pagerageung,1,1,25,23,303,248
Sukaresik,1,1,9,9,45,42
Tasikmalaya,100,100,1.393,1.174,15.989,15.560
