Kecamatan,Murid/Pupils - Negeri - 2024/2025,Murid/Pupils - Negeri - 2025/2026,Murid/Pupils - Swasta - 2024/2025,Murid/Pupils - Swasta - 2025/2026,Murid/Pupils - Jumlah - 2024/2025,Murid/Pupils - Jumlah - 2025/2026
satuan,Siswa,Siswa,Siswa,Siswa,Siswa,Siswa
tahun,2024/2025,2025/2026,2024/2025,2025/2026,2024/2025,2025/2026
(1),(2),(3),(4),(5),(6),(7)
Cipatujah,0,0,150,187,150,187
Karangnunggal,0,0,105,109,105,109
Cikalong,468,460,384,365,852,825
Pancatengah,0,0,525,506,525,506
Cikatomas,0,0,534,573,534,573
Cibalong,0,0,102,100,102,100
Parungponteng,469,472,130,119,599,591
Bantarkalong,270,248,233,241,503,489
Bojongasih,0,0,153,117,153,117
Culamega,0,0,0,0,0,0
Bojonggambir,0,0,403,365,403,365
Sodonghilir,0,0,697,703,697,703
Taraju,0,0,0,0,0,0
Salawu,0,0,200,160,200,160
Puspahiang,0,0,0,0,0,0
Tanjungjaya,0,0,251,232,251,232
Sukaraja,0,0,162,162,162,162
Salopa,426,460,1 919,1.568,2 345,2.028
Jatiwaras,0,0,349,359,349,359
Cineam,0,0,89,90,89,90
Karangjaya,0,0,0,0,0,0
Manonjaya,0,0,169,193,169,193
Gunungtanjung,0,0,0,0,0,0
Singaparna,1 304,1.283,321,312,1 625,1.595
Mangunreja,1 572,1.534,457,477,2 029,2.011
Sukarame,0,0,50,52,50,52
Cigalontang,0,0,437,410,437,410
Leuwisari,0,0,4,50,4,50
Padakembang,0,0,418,372,418,372
Sariwangi,0,0,235,245,235,245
Sukaratu,0,0,300,287,300,287
Cisayong,0,0,521,558,521,558
Sukahening,0,0,0,0,0,0
Rajapolah,0,0,419,352,419,352
Jamanis,0,0,637,595,637,595
Ciawi,1 078,1.209,0,0,1 078,1.209
Kadipaten,0,0,0,0,0,0
Pagerageung,0,0,309,305,309,305
Sukaresik,0,0,25,39,25,39
Tasikmalaya,5.587,5.666,10.688,10.203,16.275,15.869
