Kecamatan,Rumah Sakit Umum General Hospital - 2024,Rumah Sakit Umum General Hospital - 2025,Rumah Sakit Khusus Specialized Hospital - 2024,Rumah Sakit Khusus Specialized Hospital - 2025
satuan,-,-,-,-
tahun,2024,2025,2024,2025
(1),(2),(3),(4),(5)
Cipatujah,–,–,–,
Karangnunggal,–,–,–,
Cikalong,–,–,–,
Pancatengah,–,–,–,
Cikatomas,–,1,–,
Cibalong,–,–,–,
Parungponteng,–,–,–,
Bantarkalong,–,–,–,
Bojongasih,–,–,–,
Culamega,–,–,–,
Bojonggambir,–,–,–,
Sodonghilir,–,–,–,
Taraju,–,–,–,
Salawu,–,–,–,
Puspahiang,–,–,–,
Tanjungjaya,–,–,–,
Sukaraja,–,–,–,
Salopa,–,–,–,
Jatiwaras,–,–,–,
Cineam,–,–,–,
Karangjaya,–,–,–,
Manonjaya,–,–,–,
Gunungtanjung,–,–,–,
Tinewati,–,–,–,
Singaparna,3,2,–,
Sukarame,–,–,–,
Mangunreja,–,–,–,
Cigalontang,–,–,–,
Leuwisari,–,–,–,
Sariwangi,–,–,–,
Padakembang,–,–,–,
Sukaratu,–,–,–,
Cisayong,–,–,–,
Sukahening,–,–,–,
Rajapolah,–,–,–,
Jamanis,–,–,–,
Ciawi,–,–,–,
Kadipaten,–,–,–,
Pagerageung,–,–,–,
Sukaresik,–,–,–,
Tasikmalaya,3,3,–,
