Kecamatan,Poliklinik Polyclinic - 2024,Poliklinik Polyclinic - 2025,Puskesmas - 2024,Puskesmas - 2025
satuan,-,-,-,-
tahun,2024,2025,2024,2025
(1),(9),(10),,
Cipatujah,4,,1,1
Karangnunggal,2,,1,1
Cikalong,2,,1,1
Pancatengah,–,,1,1
Cikatomas,5,,1,1
Cibalong,3,,1,1
Parungponteng,1,,1,1
Bantarkalong,1,,1,1
Bojongasih,–,,1,1
Culamega,–,,1,1
Bojonggambir,1,,1,1
Sodonghilir,–,,1,1
Taraju,1,,1,1
Salawu,3,,1,1
Puspahiang,1,,1,1
Tanjungjaya,–,,1,1
Sukaraja,–,,1,1
Salopa,1,,1,1
Jatiwaras,–,,1,1
Cineam,–,,1,1
Karangjaya,1,,1,1
Manonjaya,2,,1,1
Gunungtanjung,1,,1,1
Tinewati,–,–,–,
Singaparna,6,,1,1
Sukarame,2,,1,1
Mangunreja,2,,1,1
Cigalontang,1,,1,1
Leuwisari,2,,1,1
Sariwangi,2,,1,1
Padakembang,–,,1,1
Sukaratu,3,,1,1
Cisayong,4,,1,1
Sukahening,–,,1,1
Rajapolah,2,,1,1
Jamanis,2,,1,1
Ciawi,4,,1,1
Kadipaten,–,,1,1
Pagerageung,1,,1,1
Sukaresik,1,,1,1
Tasikmalaya,61,,39,39
