Kecamatan,Puskesmas Pembantu - 2024,Puskesmas Pembantu - 2025,Apotek Pharmacy - 2024,Apotek Pharmacy - 2025
satuan,-,-,-,-
tahun,2024,2025,2024,2025
(1),(12),(13),,
Cipatujah,8,8,6,6
Karangnunggal,9,9,5,7
Cikalong,7,7,6,5
Pancatengah,5,8,4,4
Cikatomas,8,8,3,4
Cibalong,4,4,3,2
Parungponteng,5,5,1,1
Bantarkalong,3,3,2,2
Bojongasih,2,2,1,1
Culamega,4,4,–,1
Bojonggambir,7,7,1,1
Sodonghilir,6,6,2,2
Taraju,2,2,2,2
Salawu,5,6,3,4
Puspahiang,6,5,1,1
Tanjungjaya,3,3,3,3
Sukaraja,4,4,4,4
Salopa,5,5,2,2
Jatiwaras,9,9,2,2
Cineam,4,4,1,1
Karangjaya,3,3,–,–
Manonjaya,5,5,4,5
Gunungtanjung,3,3,1,1
Tinewati,–,–,–,
Singaparna,3,3,8,8
Sukarame,3,3,3,3
Mangunreja,4,4,1,1
Cigalontang,8,8,3,6
Leuwisari,1,1,3,3
Sariwangi,3,3,3,5
Padakembang,2,2,3,3
Sukaratu,3,3,4,4
Cisayong,2,4,5,4
Sukahening,2,3,3,2
Rajapolah,1,1,3,4
Jamanis,2,2,3,2
Ciawi,4,4,3,3
Kadipaten,2,2,1,1
Pagerageung,5,5,3,3
Sukaresik,3,3,2,2
Tasikmalaya,165,171,108,115
