Kecamatan,Klinik Utama Principal Clinic - 2024,Klinik Utama Principal Clinic - 2025,Balai Kesehatan - 2024,Balai Kesehatan - 2025
satuan,-,-,-,-
tahun,2024,2025,2024,2025
(1),(15),(16),,
Cipatujah,,–,,–
Karangnunggal,,–,,–
Cikalong,,–,,–
Pancatengah,,1,,–
Cikatomas,,1,,–
Cibalong,,–,,–
Parungponteng,,–,,–
Bantarkalong,,–,,–
Bojongasih,,–,,–
Culamega,,–,,–
Bojonggambir,,–,,–
Sodonghilir,,–,,–
Taraju,,–,,–
Salawu,,–,,–
Puspahiang,,–,,–
Tanjungjaya,,–,,–
Sukaraja,,–,,–
Salopa,,–,,–
Jatiwaras,,–,,–
Cineam,,–,,–
Karangjaya,,–,,–
Manonjaya,,–,,–
Gunungtanjung,,–,,–
Tinewati,–,–,–,
Singaparna,,1,,–
Sukarame,,–,,–
Mangunreja,,–,,–
Cigalontang,,–,,–
Leuwisari,,–,,–
Sariwangi,,–,,–
Padakembang,,–,,–
Sukaratu,,–,,–
Cisayong,,–,,–
Sukahening,,–,,–
Rajapolah,,–,,–
Jamanis,,–,,–
Ciawi,,–,,–
Kadipaten,,–,,–
Pagerageung,,–,,–
Sukaresik,,–,,–
Tasikmalaya,,3,,–
