Kecamatan,Klinik Pratama Primary Clinic - 2024,Klinik Pratama Primary Clinic - 2025
satuan,-,-
tahun,2024,2025
(1),(18),(19)
Cipatujah,,4
Karangnunggal,,3
Cikalong,,3
Pancatengah,,–
Cikatomas,,4
Cibalong,,3
Parungponteng,,1
Bantarkalong,,1
Bojongasih,,–
Culamega,,–
Bojonggambir,,–
Sodonghilir,,–
Taraju,,–
Salawu,,–
Puspahiang,,–
Tanjungjaya,,–
Sukaraja,,–
Salopa,,1
Jatiwaras,,–
Cineam,,–
Karangjaya,,1
Manonjaya,,3
Gunungtanjung,,1
Tinewati,,–
Singaparna,,5
Sukarame,,2
Mangunreja,,1
Cigalontang,,1
Leuwisari,,2
Sariwangi,,2
Padakembang,,–
Sukaratu,,3
Cisayong,,4
Sukahening,,–
Rajapolah,,2
Jamanis,,1
Ciawi,,4
Kadipaten,,–
Pagerageung,,–
Sukaresik,,2
Tasikmalaya,,54
