Kecamatan,Dokter Doctor,Dokter Gigi Dentist,Perawat Nurse,Bidan Midwife,Tenaga kefarmasian Pharmacist
satuan,-,-,-,-,-
tahun,2025,2025,2025,2025,2025
(1),(2),(3),(4),(5),(6)
Cipatujah,4,2,27,37,
Karangnunggal,2,1,42,38,
Cikalong,2,0,26,34,
Pancatengah,2,0,24,26,
Cikatomas,2,0,28,3,
Cibalong,2,1,15,19,
Parungponteng,2,0,15,20,
Bantarkalong,2,0,31,31,
Bojongasih,2,0,8,12,
Culamega,1,0,10,23,
Bojonggambir,3,1,26,26,
Sodonghilir,2,0,2,26,
Taraju,2,1,2,28,
Salawu,2,1,29,3,
Puspahiang,1,1,2,30,
Tanjungjaya,2,1,17,28,
Sukaraja,3,1,26,38,
Salopa,1,1,20,35,
Jatiwaras,2,0,18,40,
Cineam,1,1,13,2,
Karangjaya,1,0,8,15,
Manonjaya,2,1,43,49,
Gunungtanjung,2,0,8,29,
Singaparna,3,2,28,39,
Sukarame,7,1,21,31,
Mangunreja,2,2,1,20,
Cigalontang,3,1,26,29,
Leuwisari,5,1,9,13,
CISARUNI,,,,,
Sariwangi,2,1,12,32,
Padakembang,2,1,16,23,
Sukaratu,2,1,20,26,
Cisayong,2,1,21,27,
Sukahening,2,1,10,19,
Rajapolah,3,1,27,31,
Jamanis,2,1,20,19,
Ciawi,4,2,24,24,
Kadipaten,3,1,19,19,
Pagerageung,3,2,21,34,
Sukaresik,2,1,15,23,
Tasikmalaya,92,33,730,1.001,
