Kecamatan,Islam,Protestan Protestant,Katolik Catholic,Hindu,Budha Buddha,Lainnya Others
satuan,-,-,-,-,-,-
tahun,2025,2025,2025,2025,2025,2025
(1),(2),(3),(4),(5),(6),(7)
Cipatujah,74.654,171,14,0,0,0
Karangnunggal,85.509,7,0,0,0,0
Cikalong,67.756,0,0,0,0,0
Pancatengah,43.892,0,0,0,0,0
Cikatomas,49.589,0,0,0,0,0
Cibalong,32.806,0,0,0,0,0
Parungponteng,36.939,0,0,0,0,0
Bantarkalong,35.271,0,0,0,0,0
Bojongasih,20.203,0,0,0,0,0
Culamega,26.788,0,0,0,0,0
Bojonggambir,40.933,0,1,0,0,0
Sodonghilir,70.095,0,0,0,0,0
Taraju,45.353,0,1,0,0,0
Salawu,67.960,0,0,0,0,0
Puspahiang,36.193,0,0,0,0,0
Tanjungjaya,46.973,0,0,0,0,0
Sukaraja,47.238,0,0,0,0,0
Salopa,52.180,0,0,0,0,0
Jatiwaras,53.905,0,0,0,0,0
Cineam,34.912,0,0,0,0,0
Karangjaya,12.360,0,0,0,0,0
Manonjaya,59.378,25,8,0,0,0
Gunungtanjung,28.774,0,0,0,0,0
Singaparna,69.178,0,2,3,0,0
Sukarame,38.764,0,0,0,0,0
Mangunreja,43.916,0,1,0,0,0
Cigalontang,82.881,0,0,0,0,0
Leuwisari,41.049,0,0,0,0,0
Sariwangi,45.010,0,0,0,0,0
Padakembang,44.770,0,0,0,0,0
Sukaratu,55.194,0,0,0,0,0
Cisayong,57.487,9,0,0,0,0
Sukahening,32.248,0,20,30,4,4
Rajapolah,46.876,2,0,0,0,0
Jamanis,42.214,0,0,0,0,0
Ciawi,64.743,203,0,6,16,16
Kadipaten,37.119,0,0,0,0,0
Pagerageung,60.853,0,0,0,0,0
Sukaresik,43.550,8,0,0,0,0
Tasikmalaya,1.875.513,425,47,39,20,20
