Kecamatan,Masjid Mosque,Mushola Pray Room,Gereja Protestan Protestant Church,Gereja Katholik Catholic Church,Pura Temple,Vihara
satuan,-,-,-,-,-,-
tahun,2025,2025,2025,2025,2025,2025
(1),(2),(3),(4),(5),(6),(7)
Cipatujah,217,102,3,0,0,0
Karangnunggal,182,47,0,0,0,0
Cikalong,183,69,0,0,0,0
Pancatengah,115,200,0,0,0,0
Cikatomas,134,162,0,0,0,0
Cibalong,7,28,0,0,0,0
Parungponteng,104,46,0,0,0,0
Bantarkalong,120,108,0,0,0,0
Bojongasih,72,19,0,0,0,0
Culamega,82,62,0,0,0,0
Bojonggambir,172,2,0,0,0,0
Sodonghilir,274,107,0,0,0,0
Taraju,110,9,0,0,0,0
Salawu,234,9,0,0,0,0
Puspahiang,110,7,0,0,0,0
Tanjungjaya,104,8,0,0,0,0
Sukaraja,104,97,0,0,0,0
Salopa,126,17,0,0,0,0
Jatiwaras,115,18,0,0,0,0
Cineam,113,117,0,0,0,0
Karangjaya,3,53,0,0,0,0
Manonjaya,122,39,0,0,0,0
Gunungtanjung,170,18,0,0,0,0
Singaparna,113,82,0,0,0,0
Sukarame,94,5,0,0,0,0
Mangunreja,81,5,0,0,0,0
Cigalontang,183,50,0,0,0,0
Leuwisari,81,3,0,0,0,0
Sariwangi,75,111,0,0,0,0
Padakembang,61,53,0,0,0,0
Sukaratu,94,5,0,0,0,0
Cisayong,118,28,0,0,0,0
Sukahening,65,2,0,0,0,0
Rajapolah,95,100,0,0,0,0
Jamanis,73,35,0,0,0,0
Ciawi,114,54,0,0,0,0
Kadipaten,62,2,0,0,0,0
Pagerageung,85,6,0,0,0,0
Sukaresik,71,34,0,0,0,0
Tasikmalaya,4.438,1.919,3,0,0,0
