Kecamatan,Banjir/Flood - 2023,Banjir/Flood - 2024,Banjir/Flood - 2025
satuan,-,-,-
tahun,2023,2024,2025
(1),(2),(3),(4)
Cipatujah,1,2,1
Karangnunggal,3,5,4
Cikalong,–,1,–
Pancatengah,–,1,–
Cikatomas,–,1,1
Cibalong,1,–,–
Parungponteng,–,–,–
Bantarkalong,–,–,–
Bojongasih,–,–,1
Culamega,–,–,–
Bojonggambir,–,–,–
Sodonghilir,–,1,–
Taraju,–,–,–
Salawu,–,–,–
Puspahiang,–,–,–
Tanjungjaya,–,–,1
Sukaraja,–,–,–
Salopa,–,–,–
Jatiwaras,–,–,–
Cineam,–,–,–
Karangjaya,–,–,–
Manonjaya,2,–,–
Gunungtanjung,–,–,–
Singaparna,–,1,–
Sukarame,–,–,–
Mangunreja,–,–,–
Cigalontang,–,–,–
Leuwisari,–,–,–
Sariwangi,–,–,–
Padakembang,–,–,–
Sukaratu,–,2,–
Cisayong,2,2,1
Sukahening,–,–,–
Rajapolah,–,1,1
Jamanis,–,–,1
Ciawi,–,1,–
Kadipaten,–,–,–
Pagerageung,–,1,3
Sukaresik,1,3,5
Tasikmalaya,10,22,19
